4054614127190602368 263.74829605  -32.68772199   0.7881   0.7006   2.6664   0.8488  -1.5976   0.6472  20.1811  21.7725  19.0949      ...      ...      ...  0.9790  0.9425  1.0000  0.9425 1  0.5883  2.0602   6.5945
4054614333363568256 263.73842750  -32.67248792   0.9608   0.1109   2.6401   0.1279  -1.9443   0.0961   9.9406  10.0068   9.7802   9.6480   9.5590   9.5090  0.9229  0.7229  0.9793  0.7079 1  0.0000  1.4047   6.8184
4054614500846742272 263.77013106  -32.64210985   0.9742   0.1219   2.7011   0.1159  -1.7236   0.0912  17.1712  18.2727  16.0894  14.4320  13.7320  13.0740  0.9951  0.9609  0.9793  0.9410 1  0.4775  1.3560   6.9244
4054614500846748160 263.77813128  -32.63844779   0.8874   0.0885   2.3852   0.0990  -1.6016   0.0742  17.1203  18.1955  16.0642  14.4370  13.7540  12.8890  1.0000  0.8188  0.9828  0.8047 1  0.4443  1.6951   6.7488
4054614569580783232 263.75627100  -32.63459604   0.9060   0.1919   2.3159   0.2160  -1.7840   0.1654  18.1374  19.8546  16.8640  14.8540  14.1210  13.3460  0.6675  0.8197  0.9793  0.8028 1  0.9364  1.6145   6.5921
4054614981881111168 263.77307137  -32.60843818   0.8683   0.0160   2.5531   0.0171  -1.7927   0.0131  12.3028  12.5038  11.9628  11.4980  11.3810  11.3370  1.0000  1.0000  0.9793  0.9793 1  0.0000  1.7720   6.5963
4054615157996996352 263.71878931  -32.65038646   0.8161   0.0728   2.4078   0.0781  -1.8105   0.0592  16.6070  17.5543  15.6384  14.2400  13.5580  13.3120  1.0000  0.9691  0.9793  0.9490 1  0.3924  1.9725   7.1119
4054615188042470784 263.72662102  -32.64183687   0.8493   0.2929   2.7399   0.3053  -1.6192   0.2398  18.8422  20.4109  17.6233  15.5500  13.6400  13.2470  0.9067  0.8319  0.9793  0.8146 1  0.8032  1.8481   7.2096
4054615226716489344 263.70721286  -32.63834134   0.8809   0.0528   2.5515   0.0561  -1.6960   0.0419  16.1010  17.0173  15.1559  13.7520  13.0420  12.7220  1.0000  0.9850  0.9966  0.9816 1  0.6568  1.7233   6.6843
4054615398515184896 263.73898825  -32.60886486   0.9602   0.1355   2.3969   0.1363  -1.3997   0.1027  17.5199  18.6538  16.3619      ...      ...      ...  0.9814  0.5940  0.9793  0.5817 0  0.8032  1.4069   7.1048
4054615432859184640 263.69265401  -32.62316206   1.0026   0.3166   2.4597   0.3503  -1.8761   0.2550  18.8603  20.5210  17.6419      ...      ...      ...  0.8374  0.8921  0.9793  0.8736 1  0.8588  1.2747   6.7825
4054615432875205120 263.69619938  -32.63510581   0.9000   0.0596   2.5319   0.0664  -1.6529   0.0492  16.3667  17.3492  15.3418  13.6420  11.6980  10.1130  1.0000  0.9630  0.9793  0.9430 1  0.1880  1.6395   6.3409
4054615467234669440 263.70684241  -32.62467862   0.8932   0.1309   2.4030   0.1241  -1.7387   0.0980  17.5179  18.4993  16.4288  14.7380  11.2590   9.5260  0.9985  0.9455  0.9793  0.9259 1  0.1635  1.6684   6.5686
4054615501578690304 263.67872451  -32.62466941   0.8407   0.6081   2.3455   0.7188  -1.8648   0.5290  19.9456  21.5468  18.7298      ...      ...      ...  0.9658  0.7843  0.9793  0.7681 1  0.5939  1.8821   6.6015
4054615600358450816 263.72146339  -32.59657409   0.9831   0.1016   2.5413   0.1069  -1.7070   0.0866  17.0784  18.1625  16.0689  14.4420  13.6630  12.0970  1.0000  1.0000  1.0000  1.0000 1  0.4461  1.3291   6.5238
4054615639033381504 263.69582314  -32.59913343   0.9937   0.0525   2.5105   0.0584  -1.6598   0.0456  15.8653  16.7948  14.8839  13.5030  12.6290  12.5010  1.0000  0.8947  0.9793  0.8762 1  0.9241  1.2987   6.9000
4054615673393118080 263.71292230  -32.58817711   0.9095   0.0285   2.7529   0.0294  -1.7688   0.0237  14.4352  15.1234  13.6184  12.4050  11.8850  11.7030  1.0000  0.8348  0.9793  0.8175 1  0.1269  1.6003   7.0834
4054615772157140480 263.75535033  -32.59757791   0.8537   0.1418   2.7153   0.1544  -1.7718   0.1194  17.8374  19.1669  16.6576      ...      ...      ...  0.9609  0.8901  0.9793  0.8717 1  0.8537  1.8309   6.6351
4054615772157148160 263.74779178  -32.59281622   0.8284   0.1990   2.7728   0.2296  -1.6923   0.1765  18.2814  19.9193  17.1004  15.2680  15.2270  14.4020  0.9668  0.8077  0.9793  0.7910 1  0.8859  1.9262   7.0860
4054615776474578688 263.74848076  -32.60137305   0.9083   0.0391   2.5061   0.0375  -1.9212   0.0302  11.2044  11.2927  11.0156  10.7810  10.7550  10.7510  1.0000  0.7443  0.9793  0.7289 1  0.0000  1.6053   6.6240
4054616016990492672 263.75273659  -32.57218457   0.9226   0.0380   2.4961   0.0383  -2.0583   0.0299  14.6494  15.2452  13.8785  12.9040  12.3200  12.2160  1.0000  0.5152  0.9793  0.5046 0  0.4697  1.3439   7.1487
4054616047044969344 263.72354926  -32.57799807   0.8188   0.1597   2.2717   0.1697  -1.7926   0.1292  17.8968  19.3108  16.7741  15.0540  13.7980  13.2420  0.8691  0.6959  0.9793  0.6815 1  0.9518  1.9638   6.8941
4054616051334526720 263.72261703  -32.58105820   0.9537   0.1912   2.4236   0.2091  -1.9178   0.1607  18.2271  19.5421  17.1336  15.5090  14.9330  14.7120  0.9214  0.7762  0.9793  0.7601 1  0.1861  1.4306   6.8430
4054616051350246144 263.71705156  -32.57514805   0.9602   0.1241   2.6994   0.1279  -1.4694   0.0983  17.4933  18.7090  16.3846  14.6550  13.8170  13.2170  1.0000  0.6573  0.9793  0.6437 1  0.7816  1.4070   6.8057
